"","legper","party_name","originalname","fullname","nickname","surname","shared","lengthofname","match","alternativematch"
"371",22,"Fine Gael","Mr. Michael Noonan","Michael Noonan",NA,"Noonan",1,2,"Deputy Michael Noonan",NA
"372",22,"Fianna Fáil","Mr. Lorcan Allen","Lorcan Allen",NA,"Allen",1,2,"Deputy Lorcan Allen",NA
"373",22,"Fianna Fáil","Mr. Paudge Brennan","Paudge Brennan",NA,"Brennan",1,2,"Deputy Paudge Brennan",NA
"374",22,"Fianna Fáil","Mr. Seamus Brennan (Deceased)","Seamus Brennan ",NA,"Brennan",1,2,"Deputy Seamus Brennan ",NA
"375",22,"Fine Gael","Mr. Frank Crowley","Frank Crowley",NA,"Crowley",1,2,"Deputy Frank Crowley",NA
"376",22,"Fianna Fáil","Mr. Michael Barrett","Michael Barrett",NA,"Barrett",1,2,"Deputy Michael Barrett",NA
"377",22,"Fine Gael","Mr. Bernard Allen","Bernard Allen",NA,"Allen",1,2,"Deputy Bernard Allen",NA
"378",22,"Fianna Fáil","Mr. Pat (The Cope) Gallagher (Seat vacated 06-06-2009)","Pat Gallagher ",NA,"Gallagher",1,2,"Deputy Pat Gallagher ",NA
"379",22,"Fianna Fáil","Mr. Hugh Byrne","Hugh Byrne",NA,"Byrne",1,2,"Deputy Hugh Byrne",NA
"380",22,"Fine Gael","Mr. Sean Barrett","Sean Barrett",NA,"Barrett",1,2,"Deputy Sean Barrett",NA
"381",22,"Fine Gael","Mr. Liam Burke","Liam Burke",NA,"Burke",1,2,"Deputy Liam Burke",NA
"382",23,"Fine Gael","Mr. Edward Collins","Edward Collins",NA,"Collins",1,2,"Deputy Edward Collins",NA
"383",23,"The Labour Party","Mr. Michael O'Leary","Michael O'Leary",NA,"O'Leary",1,2,"Deputy Michael O'Leary",NA
"384",23,"Fine Gael","Mr. Peter Barry","Peter Barry",NA,"Barry",1,2,"Deputy Peter Barry",NA
"385",23,"Fine Gael","Mr. Gay Mitchell","Gay Mitchell",NA,"Mitchell",1,2,"Deputy Gay Mitchell",NA
"386",23,"Fine Gael","Mr. Jim Mitchell","Jim Mitchell",NA,"Mitchell",1,2,"Deputy Jim Mitchell",NA
"387",23,"Fianna Fáil","Mr. Niall Andrews","Niall Andrews",NA,"Andrews",1,2,"Deputy Niall Andrews",NA
"388",23,"Fine Gael","Mr. Michael Noonan","Michael Noonan",NA,"Noonan",1,2,"Deputy Michael Noonan",NA
"389",23,"Fine Gael","Ms. Myra Barry","Myra Barry",NA,"Barry",1,2,"Deputy Myra Barry",NA
"390",23,"Fianna Fáil","Mr. Bertie Ahern","Bertie Ahern",NA,"Ahern",1,2,"Deputy Bertie Ahern",NA
"391",23,"Fine Gael","Mr. Sean Barrett","Sean Barrett",NA,"Barrett",1,2,"Deputy Sean Barrett",NA
"392",23,"Fine Gael","Mr. John Bruton","John Bruton",NA,"Bruton",1,2,"Deputy John Bruton",NA
"393",23,"The Labour Party","Mrs. Eileen Desmond","Eileen Desmond",NA,"Desmond",1,2,"Deputy Eileen Desmond",NA
"394",23,"Fianna Fáil","Mr. Lorcan Allen","Lorcan Allen",NA,"Allen",1,2,"Deputy Lorcan Allen",NA
"395",23,"Fianna Fáil","Mr. Ned Brennan","Ned Brennan",NA,"Brennan",1,2,"Deputy Ned Brennan",NA
"396",23,"Fianna Fáil","Mr. Pat (The Cope) Gallagher (Seat vacated 06-06-2009)","Pat Gallagher ",NA,"Gallagher",1,2,"Deputy Pat Gallagher ",NA
"397",23,"Fianna Fáil","Mr. Gerard Collins","Gerard Collins",NA,"Collins",1,2,"Deputy Gerard Collins",NA
"398",23,"Fianna Fáil","Mr. Sylvester Barrett","Sylvester Barrett",NA,"Barrett",1,2,"Deputy Sylvester Barrett",NA
"399",23,"Fianna Fáil","Mr. Sean Byrne","Sean Byrne",NA,"Byrne",1,2,"Deputy Sean Byrne",NA
"400",23,"Fianna Fáil","Mr. Seamus Brennan (Deceased)","Seamus Brennan ",NA,"Brennan",1,2,"Deputy Seamus Brennan ",NA
"401",23,"Fianna Fáil","Mr. Hugh Byrne","Hugh Byrne",NA,"Byrne",1,2,"Deputy Hugh Byrne",NA
"402",23,"Fianna Fáil","Mr. David Andrews","David Andrews",NA,"Andrews",1,2,"Deputy David Andrews",NA
"403",23,"The Labour Party","Mr. Barry Desmond","Barry Desmond",NA,"Desmond",1,2,"Deputy Barry Desmond",NA
"404",23,"Fianna Fáil","Mr. Denis Gallagher","Denis Gallagher",NA,"Gallagher",1,2,"Deputy Denis Gallagher",NA
"405",23,"Fine Gael","Mr. Bernard Allen","Bernard Allen",NA,"Allen",1,2,"Deputy Bernard Allen",NA
"406",23,"Fianna Fáil","Mr. Eugene (Gene) Fitzgerald","Eugene Fitzgerald","Gene","Fitzgerald",1,2,"Deputy Eugene Fitzgerald",NA
"407",23,"Fianna Fáil","Mr. Vincent Brady","Vincent Brady",NA,"Brady",1,2,"Deputy Vincent Brady",NA
"408",23,"Fine Gael","Mr. Liam Burke","Liam Burke",NA,"Burke",1,2,"Deputy Liam Burke",NA
"409",23,"Fianna Fáil","Mr. Seán Walsh","Seán Walsh",NA,"Walsh",1,2,"Deputy Seán Walsh",NA
"410",23,"Fianna Fáil","Mr. John (Kerry) O'Leary","John O'Leary","Kerry","O'Leary",1,2,"Deputy John O'Leary",NA
"411",23,"Fianna Fáil","Mr. Joe Walsh","Joe Walsh",NA,"Walsh",1,2,"Deputy Joe Walsh",NA
"412",23,"Sinn Féin the Workers' Party","Mr. Paddy Gallagher","Paddy Gallagher",NA,"Gallagher",1,2,"Deputy Paddy Gallagher",NA
"413",23,"Fine Gael","Mr. Richard Bruton","Richard Bruton",NA,"Bruton",1,2,"Deputy Richard Bruton",NA
"414",23,"Fianna Fáil","Mr. John (Jackie) Fahey","John Fahey","Jackie","Fahey",1,2,"Deputy John Fahey",NA
"415",23,"Fianna Fáil","Mr. Gerard Brady","Gerard Brady",NA,"Brady",1,2,"Deputy Gerard Brady",NA
