"","legper","party_name","originalname","fullname","nickname","surname","shared","lengthofname","match","alternativematch"
"1082",3,"Farmers Party","Mr. Michael Doyle","Michael Doyle",NA,"Doyle",0,2,"Deputy Doyle","Deputy Michael Doyle"
"1083",3,"The Labour Party","Mr. Hugh Colohan","Hugh Colohan",NA,"Colohan",0,2,"Deputy Colohan","Deputy Hugh Colohan"
"1084",3,"Farmers Party","Mr. John Rooney","John Rooney",NA,"Rooney",0,2,"Deputy Rooney","Deputy John Rooney"
"1085",3,"Sinn Féin","Mr. Thomas O'Donnell","Thomas O'Donnell",NA,"O'Donnell",0,2,"Deputy O'Donnell","Deputy Thomas O'Donnell"
"1086",3,"Sinn Féin","Mr. Fionán Lynch","Fionán Lynch",NA,"Lynch",0,2,"Deputy Lynch","Deputy Fionán Lynch"
"1087",3,"Farmers Party","Mr. John Dinneen","John Dinneen",NA,"Dinneen",0,2,"Deputy Dinneen","Deputy John Dinneen"
"1088",3,"Sinn Féin","Mr. Sean Hales","Sean Hales",NA,"Hales",0,2,"Deputy Hales","Deputy Sean Hales"
"1089",3,"Independent","Mr. Myles Keogh","Myles Keogh",NA,"Keogh",0,2,"Deputy Keogh","Deputy Myles Keogh"
"1090",3,"Sinn Féin","Mr. Francis Bulfin","Francis Bulfin",NA,"Bulfin",0,2,"Deputy Bulfin","Deputy Francis Bulfin"
"1091",3,"Sinn Féin","Mr. Alasdar MacCába","Alasdar MacCába",NA,"MacCába",0,2,"Deputy MacCába","Deputy Alasdar MacCába"
"1092",3,"Sinn Féin","Mr. Andrew Lavin","Andrew Lavin",NA,"Lavin",0,2,"Deputy Lavin","Deputy Andrew Lavin"
"1093",3,"Sinn Féin","Mr. Michael Staines","Michael Staines",NA,"Staines",0,2,"Deputy Staines","Deputy Michael Staines"
"1094",3,"Sinn Féin","Mr. James Crowley","James Crowley",NA,"Crowley",0,2,"Deputy Crowley","Deputy James Crowley"
"1095",3,"Farmers Party","Mr. Daniel Vaughan","Daniel Vaughan",NA,"Vaughan",0,2,"Deputy Vaughan","Deputy Daniel Vaughan"
"1096",4,"Farmers Party","Mr. Richard Wilson","Richard Wilson",NA,"Wilson",0,2,"Deputy Wilson","Deputy Richard Wilson"
"1097",4,"The Labour Party","Mr. Thomas Johnson","Thomas Johnson",NA,"Johnson",0,2,"Deputy Johnson","Deputy Thomas Johnson"
"1098",4,"Sinn Féin","Professor Michael Hayes","Michael Hayes",NA,"Hayes",0,2,"Deputy Hayes","Deputy Michael Hayes"
"1099",4,"Sinn Féin","General Richard Mulcahy","Richard Mulcahy",NA,"Mulcahy",0,2,"Deputy Mulcahy","Deputy Richard Mulcahy"
"1100",4,"Independent","Professor William Magennis","William Magennis",NA,"Magennis",0,2,"Deputy Magennis","Deputy William Magennis"
"1101",4,"Sinn Féin","Mr. Edmund Duggan","Edmund Duggan",NA,"Duggan",0,2,"Deputy Duggan","Deputy Edmund Duggan"
"1102",4,"Independent","Mr. Darrell Figgis","Darrell Figgis",NA,"Figgis",0,2,"Deputy Figgis","Deputy Darrell Figgis"
"1103",4,"Sinn Féin","Mr. Desmond FitzGerald","Desmond FitzGerald",NA,"FitzGerald",0,2,"Deputy FitzGerald","Deputy Desmond FitzGerald"
"1104",4,"Sinn Féin","Mr. Sean Milroy","Sean Milroy",NA,"Milroy",0,2,"Deputy Milroy","Deputy Sean Milroy"
"1105",4,"The Labour Party","Mr. John Lyons","John Lyons",NA,"Lyons",0,2,"Deputy Lyons","Deputy John Lyons"
"1106",4,"Sinn Féin","Mr. Seán McGarry","Seán McGarry",NA,"McGarry",0,2,"Deputy McGarry","Deputy Seán McGarry"
"1107",4,"Businessmen's Party","Mr. William Hewat","William Hewat",NA,"Hewat",0,2,"Deputy Hewat","Deputy William Hewat"
"1108",4,"Sinn Féin","Mr. Peter Hughes","Peter Hughes",NA,"Hughes",0,2,"Deputy Hughes","Deputy Peter Hughes"
"1109",4,"Independent","Sir James Craig","James Craig",NA,"Craig",0,2,"Deputy Craig","Deputy James Craig"
"1110",4,"Sinn Féin","Mr. Fionán Lynch","Fionán Lynch",NA,"Lynch",0,2,"Deputy Lynch","Deputy Fionán Lynch"
"1111",4,"Sinn Féin","Mr. Ernest Blythe","Ernest Blythe",NA,"Blythe",0,2,"Deputy Blythe","Deputy Ernest Blythe"
"1112",4,"Sinn Féin","Mr. Daniel McCarthy","Daniel McCarthy",NA,"McCarthy",0,2,"Deputy McCarthy","Deputy Daniel McCarthy"
"1113",4,"Sinn Féin","Mr. Joseph McGrath","Joseph McGrath",NA,"McGrath",0,2,"Deputy McGrath","Deputy Joseph McGrath"
"1114",4,"The Labour Party","Mr. John Butler","John Butler",NA,"Butler",0,2,"Deputy Butler","Deputy John Butler"
"1115",4,"Sinn Féin","Mr. Kevin O'Higgins","Kevin O'Higgins",NA,"O'Higgins",0,2,"Deputy O'Higgins","Deputy Kevin O'Higgins"
"1116",4,"The Labour Party","Mr. William Davin","William Davin",NA,"Davin",0,2,"Deputy Davin","Deputy William Davin"
"1117",4,"Sinn Féin","Mr. Patrick McGoldrick","Patrick McGoldrick",NA,"McGoldrick",0,2,"Deputy McGoldrick","Deputy Patrick McGoldrick"
"1118",4,"Cumann na nGaedhael","Mr. Thomas O'Mahony","Thomas O'Mahony",NA,"O'Mahony",0,2,"Deputy O'Mahony","Deputy Thomas O'Mahony"
"1119",4,"The Labour Party","Mr. David Hall","David Hall",NA,"Hall",0,2,"Deputy Hall","Deputy David Hall"
"1120",4,"Cumann na nGaedhael","Ms. Margaret Collins-O'Driscoll","Margaret Collins-O'Driscoll",NA,"Collins-O'Driscoll",0,2,"Deputy Collins-O'Driscoll","Deputy Margaret Collins-O'Driscoll"
"1121",4,"Independent Labour","Mr. John Daly","John Daly",NA,"Daly",0,2,"Deputy Daly","Deputy John Daly"
"1122",4,"The Labour Party","Mr. James Everett","James Everett",NA,"Everett",0,2,"Deputy Everett","Deputy James Everett"
"1123",4,"Sinn Féin","Professor Eoin MacNeill","Eoin MacNeill",NA,"MacNeill",0,2,"Deputy MacNeill","Deputy Eoin MacNeill"
"1124",4,"Sinn Féin","Mr. George Nicolls","George Nicolls",NA,"Nicolls",0,2,"Deputy Nicolls","Deputy George Nicolls"
"1125",4,"Businessmen's Party","Mr. John Good","John Good",NA,"Good",0,2,"Deputy Good","Deputy John Good"
"1126",4,"Cumann na nGaedhael","Mr. Cornelius Connolly","Cornelius Connolly",NA,"Connolly",0,2,"Deputy Connolly","Deputy Cornelius Connolly"
"1127",4,"Cumann na nGaedhael","Mr. George Wolfe","George Wolfe",NA,"Wolfe",0,2,"Deputy Wolfe","Deputy George Wolfe"
"1128",4,"The Labour Party","Mr. Patrick Clancy","Patrick Clancy",NA,"Clancy",0,2,"Deputy Clancy","Deputy Patrick Clancy"
"1129",4,"The Labour Party","Mr. Hugh Colohan","Hugh Colohan",NA,"Colohan",0,2,"Deputy Colohan","Deputy Hugh Colohan"
"1130",4,"Farmers Party","Mr. John White","John White",NA,"White",0,2,"Deputy White","Deputy John White"
"1131",4,"Sinn Féin","Mr. Alasdar MacCába","Alasdar MacCába",NA,"MacCába",0,2,"Deputy MacCába","Deputy Alasdar MacCába"
"1132",4,"Progressive Association","Mr. Andrew O'Shaughnessy","Andrew O'Shaughnessy",NA,"O'Shaughnessy",0,2,"Deputy O'Shaughnessy","Deputy Andrew O'Shaughnessy"
"1133",4,"Cumann na nGaedhael","Mr. Martin Conlon","Martin Conlon",NA,"Conlon",0,2,"Deputy Conlon","Deputy Martin Conlon"
"1134",4,"Fine Gael","Mr. Martin Nally","Martin Nally",NA,"Nally",0,2,"Deputy Nally","Deputy Martin Nally"
"1135",4,"Farmers Party","Mr. Patrick McKenna","Patrick McKenna",NA,"McKenna",0,2,"Deputy McKenna","Deputy Patrick McKenna"
"1136",4,"Cumann na nGaedhael","Mr. Hugh Kennedy","Hugh Kennedy",NA,"Kennedy",0,2,"Deputy Kennedy","Deputy Hugh Kennedy"
"1137",4,"Cumann na nGaedhael","Mr. Eugene Doherty","Eugene Doherty",NA,"Doherty",0,2,"Deputy Doherty","Deputy Eugene Doherty"
"1138",4,"Fine Gael","Mr. Daniel Morrissey","Daniel Morrissey",NA,"Morrissey",0,2,"Deputy Morrissey","Deputy Daniel Morrissey"
"1139",4,"Sinn Féin","Mr. Joseph O'Doherty","Joseph O'Doherty",NA,"O'Doherty",0,2,"Deputy O'Doherty","Deputy Joseph O'Doherty"
"1140",4,"Cumann na nGaedhael","Mr. Patrick McFadden","Patrick McFadden",NA,"McFadden",0,2,"Deputy McFadden","Deputy Patrick McFadden"
"1141",4,"The Labour Party","Mr. Richard Corish","Richard Corish",NA,"Corish",0,2,"Deputy Corish","Deputy Richard Corish"
"1142",4,"Sinn Féin","Mr. William Sears","William Sears",NA,"Sears",0,2,"Deputy Sears","Deputy William Sears"
"1143",4,"Cumann na nGaedhael","Mr. Henry Coyle","Henry Coyle",NA,"Coyle",0,2,"Deputy Coyle","Deputy Henry Coyle"
"1144",4,"Farmers Party","Mr. John Conlan","John Conlan",NA,"Conlan",0,2,"Deputy Conlan","Deputy John Conlan"
"1145",4,"Fine Gael","Mr. Patrick McGilligan","Patrick McGilligan",NA,"McGilligan",0,2,"Deputy McGilligan","Deputy Patrick McGilligan"
"1146",4,"Independent","Mr. Myles Keogh","Myles Keogh",NA,"Keogh",0,2,"Deputy Keogh","Deputy Myles Keogh"
"1147",4,"Farmers Party","Mr. Daniel Vaughan","Daniel Vaughan",NA,"Vaughan",0,2,"Deputy Vaughan","Deputy Daniel Vaughan"
"1148",4,"Cumann na nGaedhael","Mr. John Prior","John Prior",NA,"Prior",0,2,"Deputy Prior","Deputy John Prior"
"1149",4,"Cumann na nGaedhael","Mr. Alfred O'Rahilly","Alfred O'Rahilly",NA,"O'Rahilly",0,2,"Deputy O'Rahilly","Deputy Alfred O'Rahilly"
"1150",4,"Cumann na nGaedhael","Mr. Bartholomew O'Connor","Bartholomew O'Connor",NA,"O'Connor",0,2,"Deputy O'Connor","Deputy Bartholomew O'Connor"
"1151",4,"Cumann na nGaedhael","Mr. James O'Mara","James O'Mara",NA,"O'Mara",0,2,"Deputy O'Mara","Deputy James O'Mara"
"1152",4,"Cumann na nGaedhael","Mr. James Ledden","James Ledden",NA,"Ledden",0,2,"Deputy Ledden","Deputy James Ledden"
"1153",4,"Sinn Féin","Mr. Andrew Lavin","Andrew Lavin",NA,"Lavin",0,2,"Deputy Lavin","Deputy Andrew Lavin"
"1154",4,"Farmers Party","Mr. Nicholas Wall","Nicholas Wall",NA,"Wall",0,2,"Deputy Wall","Deputy Nicholas Wall"
"1155",4,"Cumann na nGaedhael","Mr. Patrick Duffy","Patrick Duffy",NA,"Duffy",0,2,"Deputy Duffy","Deputy Patrick Duffy"
"1156",4,"Fianna Fáil","Mr. Thomas Carter","Thomas Carter",NA,"Carter",0,2,"Deputy Carter","Deputy Thomas Carter"
"1157",4,"Cumann na nGaedhael","Mr. Denis McCullough","Denis McCullough",NA,"McCullough",0,2,"Deputy McCullough","Deputy Denis McCullough"
"1158",4,"Cumann na nGaedhael","Mr. Thomas Bolger","Thomas Bolger",NA,"Bolger",0,2,"Deputy Bolger","Deputy Thomas Bolger"
"1159",4,"Cumann na nGaedhael","Professor Michael Tierney","Michael Tierney",NA,"Tierney",0,2,"Deputy Tierney","Deputy Michael Tierney"
"1160",4,"Cumann na nGaedhael","Mr. Patrick Leonard","Patrick Leonard",NA,"Leonard",0,2,"Deputy Leonard","Deputy Patrick Leonard"
"1161",4,"Fine Gael","Mr. Martin Roddy","Martin Roddy",NA,"Roddy",0,2,"Deputy Roddy","Deputy Martin Roddy"
"1162",4,"Farmers Party","Mr. John Dinneen","John Dinneen",NA,"Dinneen",0,2,"Deputy Dinneen","Deputy John Dinneen"
"1163",4,"Sinn Féin","Mr. James Crowley","James Crowley",NA,"Crowley",0,2,"Deputy Crowley","Deputy James Crowley"
"1164",4,"Cumann na nGaedhael","Mr. John Hennigan","John Hennigan",NA,"Hennigan",0,2,"Deputy Hennigan","Deputy John Hennigan"
"1165",4,"Fine Gael","Mr. Sean Broderick","Sean Broderick",NA,"Broderick",0,2,"Deputy Broderick","Deputy Sean Broderick"
"1166",4,"The Labour Party","Mr. William Norton","William Norton",NA,"Norton",0,2,"Deputy Norton","Deputy William Norton"
"1167",4,"Cumann na nGaedhael","Mr. James Dwyer","James Dwyer",NA,"Dwyer",0,2,"Deputy Dwyer","Deputy James Dwyer"
"1168",4,"Fianna Fáil","Mr. Daniel Breen","Daniel Breen",NA,"Breen",0,2,"Deputy Breen","Deputy Daniel Breen"
"1169",5,"The Labour Party","Mr. Thomas Johnson","Thomas Johnson",NA,"Johnson",0,2,"Deputy Johnson","Deputy Thomas Johnson"
"1170",5,"Sinn Féin","Professor Michael Hayes","Michael Hayes",NA,"Hayes",0,2,"Deputy Hayes","Deputy Michael Hayes"
"1171",5,"The Labour Party","Mr. David Hall","David Hall",NA,"Hall",0,2,"Deputy Hall","Deputy David Hall"
"1172",5,"Sinn Féin","Mr. Kevin O'Higgins","Kevin O'Higgins",NA,"O'Higgins",0,2,"Deputy O'Higgins","Deputy Kevin O'Higgins"
"1173",5,"Fine Gael","Mr. Daniel Morrissey","Daniel Morrissey",NA,"Morrissey",0,2,"Deputy Morrissey","Deputy Daniel Morrissey"
"1174",5,"The Labour Party","Mr. William Davin","William Davin",NA,"Davin",0,2,"Deputy Davin","Deputy William Davin"
"1175",5,"The Labour Party","Mr. Richard Corish","Richard Corish",NA,"Corish",0,2,"Deputy Corish","Deputy Richard Corish"
"1176",5,"The Labour Party","Mr. Thomas Lawlor","Thomas Lawlor",NA,"Lawlor",0,2,"Deputy Lawlor","Deputy Thomas Lawlor"
"1177",5,"Fine Gael","Mr. Michael Brennan","Michael Brennan",NA,"Brennan",0,2,"Deputy Brennan","Deputy Michael Brennan"
"1178",5,"Cumann na nGaedhael","Mr. Martin Conlon","Martin Conlon",NA,"Conlon",0,2,"Deputy Conlon","Deputy Martin Conlon"
"1179",5,"The Labour Party","Mr. William O'Brien","William O'Brien",NA,"O'Brien",0,2,"Deputy O'Brien","Deputy William O'Brien"
"1180",5,"Fine Gael","Mr. Patrick McGilligan","Patrick McGilligan",NA,"McGilligan",0,2,"Deputy McGilligan","Deputy Patrick McGilligan"
"1181",5,"Fine Gael","Mr. Daniel McMenamin","Daniel McMenamin",NA,"McMenamin",0,2,"Deputy McMenamin","Deputy Daniel McMenamin"
"1182",5,"The Labour Party","Mr. Hugh Colohan","Hugh Colohan",NA,"Colohan",0,2,"Deputy Colohan","Deputy Hugh Colohan"
"1183",5,"National League","Mr. John (Cork Borough) Horgan","John Horgan",NA,"Horgan",0,2,"Deputy Horgan","Deputy John Horgan"
"1184",5,"The Labour Party","Mr. James Everett","James Everett",NA,"Everett",0,2,"Deputy Everett","Deputy James Everett"
"1185",5,"Independent Labour","Mr. John Daly","John Daly",NA,"Daly",0,2,"Deputy Daly","Deputy John Daly"
"1186",5,"Sinn Féin","Mr. Ernest Blythe","Ernest Blythe",NA,"Blythe",0,2,"Deputy Blythe","Deputy Ernest Blythe"
"1187",5,"Sinn Féin","General Richard Mulcahy","Richard Mulcahy",NA,"Mulcahy",0,2,"Deputy Mulcahy","Deputy Richard Mulcahy"
"1188",5,"National League","Mr. John Jinks","John Jinks",NA,"Jinks",0,2,"Deputy Jinks","Deputy John Jinks"
"1189",5,"Cumann na nGaedhael","Mr. Martin McDonogh","Martin McDonogh",NA,"McDonogh",0,2,"Deputy McDonogh","Deputy Martin McDonogh"
"1190",5,"Fine Gael","Mr. James Coburn","James Coburn",NA,"Coburn",0,2,"Deputy Coburn","Deputy James Coburn"
"1191",5,"The Labour Party","Mr. Timothy Quill","Timothy Quill",NA,"Quill",0,2,"Deputy Quill","Deputy Timothy Quill"
"1192",5,"Farmers Party","Mr. Thomas Falvey","Thomas Falvey",NA,"Falvey",0,2,"Deputy Falvey","Deputy Thomas Falvey"
"1193",5,"The Labour Party","Mr. Denis Cullen","Denis Cullen",NA,"Cullen",0,2,"Deputy Cullen","Deputy Denis Cullen"
"1194",5,"National League","Mr. William Duffy","William Duffy",NA,"Duffy",0,2,"Deputy Duffy","Deputy William Duffy"
"1195",5,"Sinn Féin","Mr. Edmund Duggan","Edmund Duggan",NA,"Duggan",0,2,"Deputy Duggan","Deputy Edmund Duggan"
"1196",5,"Farmers Party","Mr. Daniel Vaughan","Daniel Vaughan",NA,"Vaughan",0,2,"Deputy Vaughan","Deputy Daniel Vaughan"
"1197",5,"Independent","Mr. Alexander Haslett","Alexander Haslett",NA,"Haslett",0,2,"Deputy Haslett","Deputy Alexander Haslett"
"1198",5,"Independent","Mr. Gilbert Hewson","Gilbert Hewson",NA,"Hewson",0,2,"Deputy Hewson","Deputy Gilbert Hewson"
"1199",5,"Farmers Party","Mr. Hugh Garahan","Hugh Garahan",NA,"Garahan",0,2,"Deputy Garahan","Deputy Hugh Garahan"
"1200",5,"Independent","Sir James Craig","James Craig",NA,"Craig",0,2,"Deputy Craig","Deputy James Craig"
"1201",5,"Cumann na nGaedhael","Mr. Timothy (Cork) Sheehy","Timothy Sheehy","Cork","Sheehy",0,2,"Deputy Sheehy","Deputy Timothy Sheehy"
"1202",5,"The Labour Party","Mr. Michael Keyes","Michael Keyes",NA,"Keyes",0,2,"Deputy Keyes","Deputy Michael Keyes"
"1203",5,"Farmers Party","Mr. Michael Carter","Michael Carter",NA,"Carter",0,2,"Deputy Carter","Deputy Michael Carter"
"1204",5,"Cumann na nGaedhael","Mr. Michael Davis","Michael Davis",NA,"Davis",0,2,"Deputy Davis","Deputy Michael Davis"
"1205",5,"Cumann na nGaedhael","Mr. Eugene Doherty","Eugene Doherty",NA,"Doherty",0,2,"Deputy Doherty","Deputy Eugene Doherty"
"1206",5,"Fine Gael","Mr. Martin Nally","Martin Nally",NA,"Nally",0,2,"Deputy Nally","Deputy Martin Nally"
"1207",5,"National League","Mr. Vincent Rice","Vincent Rice",NA,"Rice",0,2,"Deputy Rice","Deputy Vincent Rice"
"1208",5,"Fine Gael","Mr. James Fitzgerald-Kenney","James Fitzgerald-Kenney",NA,"Fitzgerald-Kenney",0,2,"Deputy Fitzgerald-Kenney","Deputy James Fitzgerald-Kenney"
"1209",5,"Cumann na nGaedhael","Mr. Dermot (Gun) O'Mahony","Dermot O'Mahony","Gun","O'Mahony",0,2,"Deputy O'Mahony","Deputy Dermot O'Mahony"
"1210",5,"Fine Gael","Mr. John Keating","John Keating",NA,"Keating",0,2,"Deputy Keating","Deputy John Keating"
"1211",5,"Independent","Mr. Myles Keogh","Myles Keogh",NA,"Keogh",0,2,"Deputy Keogh","Deputy Myles Keogh"
"1212",5,"The Labour Party","Mr. Patrick Clancy","Patrick Clancy",NA,"Clancy",0,2,"Deputy Clancy","Deputy Patrick Clancy"
"1213",5,"Cumann na nGaedhael","Mr. Mark Henry","Mark Henry",NA,"Henry",0,2,"Deputy Henry","Deputy Mark Henry"
"1214",5,"Farmers Party","Mr. Richard Holohan","Richard Holohan",NA,"Holohan",0,2,"Deputy Holohan","Deputy Richard Holohan"
"1215",5,"Fine Gael","Mr. Patrick Belton","Patrick Belton",NA,"Belton",0,2,"Deputy Belton","Deputy Patrick Belton"
"1216",5,"Cumann na nGaedhael","Ms. Margaret Collins-O'Driscoll","Margaret Collins-O'Driscoll",NA,"Collins-O'Driscoll",0,2,"Deputy Collins-O'Driscoll","Deputy Margaret Collins-O'Driscoll"
"1217",5,"Fine Gael","Mr. Martin Roddy","Martin Roddy",NA,"Roddy",0,2,"Deputy Roddy","Deputy Martin Roddy"
"1218",5,"Businessmen's Party","Mr. John Good","John Good",NA,"Good",0,2,"Deputy Good","Deputy John Good"
"1219",6,"The Labour Party","Mr. William Davin","William Davin",NA,"Davin",0,2,"Deputy Davin","Deputy William Davin"
"1220",6,"Fine Gael","Mr. Daniel Morrissey","Daniel Morrissey",NA,"Morrissey",0,2,"Deputy Morrissey","Deputy Daniel Morrissey"
"1221",6,"The Labour Party","Mr. Richard Corish","Richard Corish",NA,"Corish",0,2,"Deputy Corish","Deputy Richard Corish"
"1222",6,"Sinn Féin","Mr. Ernest Blythe","Ernest Blythe",NA,"Blythe",0,2,"Deputy Blythe","Deputy Ernest Blythe"
"1223",6,"Sinn Féin","Mr. Seán MacEntee","Seán MacEntee",NA,"MacEntee",0,2,"Deputy MacEntee","Deputy Seán MacEntee"
"1224",6,"Cumann na nGaedhael","Mr. Bartholomew O'Connor","Bartholomew O'Connor",NA,"O'Connor",0,2,"Deputy O'Connor","Deputy Bartholomew O'Connor"
"1225",6,"Sinn Féin","Mr. Frank Fahy","Frank Fahy",NA,"Fahy",0,2,"Deputy Fahy","Deputy Frank Fahy"
"1226",6,"Fianna Fáil","Mr. Sean (Cork Borough) French","Sean French",NA,"French",0,2,"Deputy French","Deputy Sean French"
"1227",6,"Fianna Fáil","Mr. Thomas Derrig","Thomas Derrig",NA,"Derrig",0,2,"Deputy Derrig","Deputy Thomas Derrig"
"1228",6,"Fianna Fáil","Mr. Frank Carney","Frank Carney",NA,"Carney",0,2,"Deputy Carney","Deputy Frank Carney"
"1229",6,"Sinn Féin","Mr. Michael Kilroy","Michael Kilroy",NA,"Kilroy",0,2,"Deputy Kilroy","Deputy Michael Kilroy"
"1230",6,"Fianna Fáil","Mr. John Tubridy","John Tubridy",NA,"Tubridy",0,2,"Deputy Tubridy","Deputy John Tubridy"
"1231",6,"Sinn Féin","Mr. Edmund Duggan","Edmund Duggan",NA,"Duggan",0,2,"Deputy Duggan","Deputy Edmund Duggan"
"1232",6,"Sinn Féin","Dr. James Ryan","James Ryan",NA,"Ryan",0,2,"Deputy Ryan","Deputy James Ryan"
"1233",6,"Cumann na nGaedhael","Ms. Margaret Collins-O'Driscoll","Margaret Collins-O'Driscoll",NA,"Collins-O'Driscoll",0,2,"Deputy Collins-O'Driscoll","Deputy Margaret Collins-O'Driscoll"
"1234",6,"Fine Gael","Mr. Patrick McGilligan","Patrick McGilligan",NA,"McGilligan",0,2,"Deputy McGilligan","Deputy Patrick McGilligan"
"1235",6,"Fine Gael","Mr. James Fitzgerald-Kenney","James Fitzgerald-Kenney",NA,"Fitzgerald-Kenney",0,2,"Deputy Fitzgerald-Kenney","Deputy James Fitzgerald-Kenney"
"1236",6,"Sinn Féin","General Richard Mulcahy","Richard Mulcahy",NA,"Mulcahy",0,2,"Deputy Mulcahy","Deputy Richard Mulcahy"
"1237",6,"Cumann na nGaedhael","Mr. James Dwyer","James Dwyer",NA,"Dwyer",0,2,"Deputy Dwyer","Deputy James Dwyer"
"1238",6,"Fine Gael","Mr. Martin Roddy","Martin Roddy",NA,"Roddy",0,2,"Deputy Roddy","Deputy Martin Roddy"
"1239",6,"Fianna Fáil","Mr. Robert Briscoe","Robert Briscoe",NA,"Briscoe",0,2,"Deputy Briscoe","Deputy Robert Briscoe"
"1240",6,"Cumann na nGaedhael","Mr. Edmond Carey","Edmond Carey",NA,"Carey",0,2,"Deputy Carey","Deputy Edmond Carey"
"1241",6,"Independent Labour","Mr. John Daly","John Daly",NA,"Daly",0,2,"Deputy Daly","Deputy John Daly"
"1242",6,"Sinn Féin","Mr. Daniel Corkery","Daniel Corkery",NA,"Corkery",0,2,"Deputy Corkery","Deputy Daniel Corkery"
"1243",6,"Independent","Sir James Craig","James Craig",NA,"Craig",0,2,"Deputy Craig","Deputy James Craig"
"1244",6,"Independent","Mr. Myles Keogh","Myles Keogh",NA,"Keogh",0,2,"Deputy Keogh","Deputy Myles Keogh"
"1245",6,"Sinn Féin","Mr. Desmond FitzGerald","Desmond FitzGerald",NA,"FitzGerald",0,2,"Deputy FitzGerald","Deputy Desmond FitzGerald"
"1246",6,"The Labour Party","Mr. Hugh Colohan","Hugh Colohan",NA,"Colohan",0,2,"Deputy Colohan","Deputy Hugh Colohan"
"1247",6,"Businessmen's Party","Mr. John Good","John Good",NA,"Good",0,2,"Deputy Good","Deputy John Good"
"1248",6,"Cumann na nGaedhael","Professor Michael Tierney","Michael Tierney",NA,"Tierney",0,2,"Deputy Tierney","Deputy Michael Tierney"
"1249",6,"Independent","Mr. Alexander Haslett","Alexander Haslett",NA,"Haslett",0,2,"Deputy Haslett","Deputy Alexander Haslett"
"1250",6,"Fianna Fáil","Mr. Séamus Moore","Séamus Moore",NA,"Moore",0,2,"Deputy Moore","Deputy Séamus Moore"
"1251",6,"Fine Gael","Mr. Michael Brennan","Michael Brennan",NA,"Brennan",0,2,"Deputy Brennan","Deputy Michael Brennan"
"1252",6,"Fianna Fáil","Mr. Frank Aiken","Frank Aiken",NA,"Aiken",0,2,"Deputy Aiken","Deputy Frank Aiken"
"1253",6,"Farmers Party","Mr. Richard Holohan","Richard Holohan",NA,"Holohan",0,2,"Deputy Holohan","Deputy Richard Holohan"
"1254",6,"Sinn Féin","Mr. Fionán Lynch","Fionán Lynch",NA,"Lynch",0,2,"Deputy Lynch","Deputy Fionán Lynch"
"1255",6,"Fine Gael","Mr. Martin Nally","Martin Nally",NA,"Nally",0,2,"Deputy Nally","Deputy Martin Nally"
"1256",6,"Fianna Fáil","Mr. Micheál Clery","Micheál Clery",NA,"Clery",0,2,"Deputy Clery","Deputy Micheál Clery"
"1257",6,"Fianna Fáil","Mr. Denis Allen","Denis Allen",NA,"Allen",0,2,"Deputy Allen","Deputy Denis Allen"
"1258",6,"Fine Gael","Mr. James Coburn","James Coburn",NA,"Coburn",0,2,"Deputy Coburn","Deputy James Coburn"
"1259",6,"Farmers Party","Mr. Daniel Vaughan","Daniel Vaughan",NA,"Vaughan",0,2,"Deputy Vaughan","Deputy Daniel Vaughan"
"1260",6,"Fianna Fáil","Mr. Thomas (Snr.) McEllistrim","Thomas McEllistrim",NA,"McEllistrim",0,2,"Deputy McEllistrim","Deputy Thomas McEllistrim"
"1261",6,"Fianna Fáil","Mr. Frank Kerlin","Frank Kerlin",NA,"Kerlin",0,2,"Deputy Kerlin","Deputy Frank Kerlin"
"1262",6,"Fianna Fáil","Mr. Sean Brady","Sean Brady",NA,"Brady",0,2,"Deputy Brady","Deputy Sean Brady"
"1263",6,"Fianna Fáil","Mr. Andrew Fogarty","Andrew Fogarty",NA,"Fogarty",0,2,"Deputy Fogarty","Deputy Andrew Fogarty"
"1264",6,"Cumann na nGaedhael","Mr. Michael Davis","Michael Davis",NA,"Davis",0,2,"Deputy Davis","Deputy Michael Davis"
"1265",6,"Fianna Fáil","Mr. Neal Blaney","Neal Blaney",NA,"Blaney",0,2,"Deputy Blaney","Deputy Neal Blaney"
"1266",6,"Fianna Fáil","Mr. Patrick Smith","Patrick Smith",NA,"Smith",0,2,"Deputy Smith","Deputy Patrick Smith"
"1267",6,"Fianna Fáil","Mr. Eamonn Cooney","Eamonn Cooney",NA,"Cooney",0,2,"Deputy Cooney","Deputy Eamonn Cooney"
"1268",6,"Republican","Mr. James Colbert","James Colbert",NA,"Colbert",0,2,"Deputy Colbert","Deputy James Colbert"
"1269",6,"The Labour Party","Mr. James Everett","James Everett",NA,"Everett",0,2,"Deputy Everett","Deputy James Everett"
"1270",6,"Fianna Fáil","Mr. Richard Walsh","Richard Walsh",NA,"Walsh",0,2,"Deputy Walsh","Deputy Richard Walsh"
"1271",6,"Cumann na nGaedhael","Mr. Martin Conlon","Martin Conlon",NA,"Conlon",0,2,"Deputy Conlon","Deputy Martin Conlon"
"1272",6,"Fianna Fáil","Mr. Seán Goulding","Seán Goulding",NA,"Goulding",0,2,"Deputy Goulding","Deputy Seán Goulding"
"1273",6,"Fianna Fáil","Mr. Mark (Snr.) Killilea","Mark Killilea",NA,"Killilea",0,2,"Deputy Killilea","Deputy Mark Killilea"
